24.05	41.95	0.25	0.26	8.16	11.09	43
26.47	33.51	0.08	0.31	8.79	5.76	44
35.13	43.65	0.15	0.31	8.49	7.94	48
24.92	31.74	0.18	0.27	8.69	9.67	45
21.7	27.32	0.12	0.27	4.54	8.47	41
28.33	33.24	0.39	0.36	5.3	10.16	42
22.63	28.06	0.33	0.28	5.52	0.79	49
15.06	19.85	0.36	0.22	5.43	2.46	33
19.5	25.12	0.25	0.25	6.06	1.17	31
10.48	14.73	0.11	0.22	6.4	1.27	24
11.79	18.9	0.95	0.25	6.79	8.71	24
9.53	20.94	0.75	0.27	6.62	7.67	23
8.53	11.26	0.34	0.24	6.61	1.3	20
10.42	14.56	0.26	0.26	6.96	1.75	19
5.74	9.67	0.34	0.21	6.79	1.16	19
3.14	5.83	0.2	0.18	7.47	0.55	19
1.97	4.06	0.13	0.18	6.98	1.78	18
5.4	9.88	0.27	0.25	7.21	0.22	19
4.49	8.9	0.3	0.24	6.6	1.55	19
7.92	12.97	0.35	0.3	6.47	1.61	20
30.18	74.99	34.81	0.45	25.09	39	89
18.77	61.54	23.01	0.39	26.86	47.88	95
31.16	72.09	25.9	0.37	21.85	43.35	89
23.69	64.81	17.18	0.43	23.5	44.04	88
38.65	81.47	26.76	0.36	22.03	54.24	95
30.8	76.25	25.97	0.36	18.03	37.28	92
30.69	107.31	22.57	0.41	36.24	39.3	96
21.27	65.12	13.93	0.36	21	40.56	99
29.84	77.98	15.77	0.34	25.22	38.31	86
27.81	73.99	16.32	0.39	19.16	38.23	87
28.25	70.48	13.88	0.38	16.51	41.74	98
30.72	88.9	33.6	0.63	14.73	4.08	92
33.19	65.77	39.76	0.71	14.4	40.28	95
20.67	69.5	34.11	0.82	13.05	36.32	93
22.92	70.97	28.47	0.57	11.6	30.16	97
21.17	81.73	25.68	0.86	12.69	39.69	84
20.4	66.21	26.94	0.68	18.41	37.38	92
21.72	62.28	28.15	1.18	17.51	30.53	98
24.1	87.14	27.53	0.86	20.82	35.29	96
21.21	92.72	31.93	0.85	19.3	33.59	96
41.61	83.5	54.14	3.87	123.27	57.81	134
77.66	99.48	62.09	4.32	93.11	51.79	140
45.47	89.73	20.62	5.2	18.8	30.45	145
57.99	97.02	17.47	2.2	52.32	6.35	113
49.63	95.51	19.99	1.89	79.47	4.87	113
38.89	93.4	14.14	2.41	46.78	23.64	129
56.14	108.83	11.65	2.5	26.75	23.58	129
59.96	109.98	14.37	2.38	45.44	23.58	114
53.27	90.4	16.01	3.59	19.5	23.66	142
37.67	94.36	17.52	2.28	26.68	16.92	116
31.89	98.52	25.2	2.96	44.87	47.99	135
20.67	75.48	26.98	3.08	22.76	40.17	125
28.55	89.1	38.65	4.11	19.14	31.5	140
29.97	98.96	22.08	3.85	32.01	36.86	145
46.64	95.3	29.6	3.75	22.2	49.67	145
30.73	78.56	28.65	0.59	32.01	42.61	113
26.7	72.83	27	0.36	21.57	42.16	101
32.11	94.34	17.95	0.45	15.83	42.22	101
31.67	81.09	16.17	0.35	32.39	43.6	106
27.19	82.36	16.13	0.28	20.59	51.81	110
63.09	152.67	163.54	12.65	26.31	113.94	184
57.54	81.3	72.14	7.32	120.11	103.24	199
37.74	93.24	62.2	7.42	110.11	51.34	200
46.95	86.39	86.67	8.07	147.78	41.06	199
46.74	76.39	60.49	4.02	112.45	48.16	192
65.48	121.86	82.62	7.8	66.09	42.3	197
63.33	99.3	14.79	4.66	29.4	24.07	157
48.58	93.92	12	2.56	20.56	27.73	177
60.17	104.08	18.36	3.75	39.26	8.94	170
53	98.1	20.11	4.07	69.13	5.4	166
72.59	128.86	14.38	3.63	23.96	23.67	162
46.96	109.44	16.88	7.17	38.11	23.64	175
61.4	118.44	16.33	2.38	30.54	23.59	157
39.83	44.53	16.42	3.26	25.78	23.62	189
40.07	79.32	13.41	3.75	10.67	23.6	152
36.35	97.03	52.87	4.78	42.9	52.15	168
37.02	90.26	32.91	5.55	42.98	67.75	170
31.12	80.79	21.51	3.56	19.43	16.68	152
39.57	111.46	35.3	4	49.34	39.51	170
48.16	122.17	18.27	5.47	52.62	33.69	180
37.55	122.41	85.12	15.08	163.01	48.23	281
27.93	103.3	76.75	11.44	86.48	54.34	270
33.66	56.01	92.52	11.85	137.97	72.52	266
89.05	129.36	159.1	5.69	105.73	76.58	228
81.62	118.57	121.02	1.7	117.2	114.49	225
84.9	128.62	108.85	3.67	113.16	133.14	258
46.84	83.85	114.63	6.05	118.83	91.42	249
53.59	106.77	152.09	4.79	119.97	116.38	270
62.7	108.91	86.91	1.41	88.46	162.43	273
75.12	158.06	68.64	7.95	106.2	55.96	212
42.27	111.98	87.8	10.87	129.66	39.52	275
68.07	133.46	155.92	9.16	168.45	51.38	282
38.15	89.99	140.56	7.78	166.39	40.11	236
48.47	87.26	103.61	5.55	186.08	44.3	212
43.06	79.08	81.68	5.26	137.18	42.68	248
93.24	157.33	83.89	9.08	36.22	53.07	276
92.26	135.81	76.33	12.09	31.8	53.65	293
52.59	92.57	11.32	6.92	25.09	23.94	242
54.42	102.4	25.45	5.67	26.19	29.22	237
72.45	116.1	25.88	8.84	29.77	24.83	231
33.97	116.32	79.71	14.67	91.26	51.86	330
35.48	130.07	77.61	18.02	98.35	38.99	356
34.11	138.31	75.23	13.27	88.66	42.22	359
33.69	111.73	68.9	34.56	80.9	36.95	547
42.31	118.65	81.84	17.47	89.57	46.68	813
24.6	103.88	81.24	11.03	80.74	46.65	321
41.39	135.65	89.1	14.29	105.96	49.7	323
46.79	148	93.27	14.31	131.04	56.31	344
51.63	156.97	89.18	17.96	134.22	49.62	404
63.15	177.87	100.08	28.03	122.43	50.32	558
57.47	163.36	112.68	21.39	143.3	52.19	435
50.27	156.63	103.05	21.02	118.55	49.86	440
42.02	140.66	71.51	16.43	82.75	52.44	374
48.74	153.69	91.02	19.89	138.12	52.86	515
46.51	136.34	85.37	16.75	145.55	44.53	360
48.1	142.06	70.71	23.83	142.52	40.22	467
41.38	119.91	70.35	21.8	134.76	41.5	402
46.46	134.2	74.31	22.33	137.83	47.63	419
39.68	117.51	77.12	20.89	139.31	71.62	408
38.27	113.84	61.74	18.87	112.15	82.73	402
